 --------~Onbekend
 00740103~Heerenveen;Nijehaske
 00740104~Heerenveen;De Greiden
 00740105~Heerenveen;De Heide
 00740106~Heerenveen;De Akkers
 00740107~Heerenveen;Skoatterwald
 00740108~Heerenveen;Het meer
 00740109~Heerenveen;Nieuweschoot
 00740110~Heerenveen;Haskerveen
 00740201~Heerenveen;Terband
 00740202~Heerenveen;Luinjeberd
 00740203~Heerenveen;Tjalleberd
 00740204~Heerenveen;Gersloot
 00740205~Heerenveen;Gersloot-polder
 00740301~Heerenveen;De Knipe
 00740302~Heerenveen;Bontebok
 00740401~Heerenveen;Oudeschoot
 00740402~Heerenveen;Mildam
 00740403~Heerenveen;Katlijk
 00740404~Heerenveen;Nieuwehorne
 00740405~Heerenveen;Oudehorne
 00740406~Heerenveen;Jubbega
 00740407~Heerenveen;Hoornsterzwaag
 00740601~Heerenveen;Oranjewoud
 00740701~Heerenveen;Haskerdijken
 00740702~Heerenveen;Nieuwebrug
 00740901~Heerenveen;Akkrum
 00740902~Heerenveen;Nes
 00740903~Heerenveen;Aldeboarn
 00801001~Leeuwarden;De Waag
 00801002~Leeuwarden;Nieuwestad
 00801003~Leeuwarden;Oldehove
 00801004~Leeuwarden;Grote Kerkbuurt
 00801005~Leeuwarden;Hoek
 00801006~Leeuwarden;Blokhuisplein
 00801007~Leeuwarden;Zaailand
 00801008~Leeuwarden;Stationskwartier
 00801101~Leeuwarden;Tulpenburg
 00801102~Leeuwarden;Oranjewijk
 00801103~Leeuwarden;Achter de Hoven
 00801104~Leeuwarden;Schepenbuurt
 00801105~Leeuwarden;Wielenpôlle
 00801106~Leeuwarden;Huizum-Dorp
 00801107~Leeuwarden;Huizum-Sixma
 00801108~Leeuwarden;Huizum-Bornia
 00801109~Leeuwarden;Huizum-Badweg
 00802001~Leeuwarden;Oldegalileën
 00802002~Leeuwarden;Bloemenbuurt
 00802003~Leeuwarden;Cambuursterpad
 00802004~Leeuwarden;Zamenhofpark
 00802005~Leeuwarden;Cambuur
 00802006~Leeuwarden;Zeeheldenbuurt
 00802007~Leeuwarden;Indische buurt
 00802008~Leeuwarden;Molenpad
 00802009~Leeuwarden;Welgelegen
